entry_price,exit_price,profit,days_held,confidence
321.1045227050781,319.7083740234375,-13.043871228088548,5,0.5140625099478878
313.8002014160156,302.0300598144531,-112.3784056929912,2,0.55172246199094
301.9190368652344,323.7581787109375,214.28158932919496,5,0.5132564861484732
355.0093688964844,349.78179931640625,-44.56801875666346,5,0.5320795997954261
356.2164611816406,365.9011535644531,81.92423594886051,5,0.5417008607123762
365.7301025390625,368.701904296875,24.68468269519075,5,0.5161676567441935
367.7237243652344,378.7723388671875,91.4980806476764,5,0.5551974387782549
384.0636901855469,391.3207092285156,58.06011973299249,5,0.5080282254459993
388.0787658691406,386.5510559082031,-12.164628139876669,5,0.5078162035775817
407.7730712890625,408.03564453125,1.9874514864677324,5,0.5011668468485242
427.14447021484375,439.0710144042969,86.19624209691635,5,0.5245532485720077
437.3551635742187,442.7964782714844,38.72940171515144,5,0.5269984180961386
438.5529174804687,437.2638244628906,-9.184413052746878,5,0.5519341545206535
407.7755432128906,430.329345703125,172.66511883638051,5,0.5943439783336845
420.2144775390625,422.7737426757813,19.32846280451867,5,0.5664863288732902
413.0823059082031,404.190673828125,-68.43696144827003,5,0.5669482891483856
397.0208435058594,412.01904296875,119.33231969298191,5,0.5088789470169733
394.6496887207031,392.36328125,-18.508376890390895,5,0.5098986859945563
400.9914855957031,424.3419494628906,185.70831358553568,5,0.6289623350591304
431.1471252441406,415.2149963378906,-119.9059463211519,5,0.5560746167331657
413.6765747070313,419.7360229492187,47.00273616199848,5,0.623232742980076
404.44586181640625,388.8630065917969,-124.17720599417542,4,0.511630571811028
392.9970397949219,375.8097229003906,-139.32368275904975,4,0.5842482685658476
376.677978515625,385.3896484375,72.71124589069723,5,0.5961587362455159
369.8539733886719,375.0545349121094,44.51365040959663,5,0.5103007648462574
382.5486145019531,387.4849853515625,41.02254061199086,5,0.5687936678579929
353.9407958984375,355.5360412597656,14.383886844453171,5,0.5132280861151617
390.8745422363281,377.4709167480469,-109.58500079774703,5,0.5285772316564188
375.7741394042969,385.4240112304687,81.22130552812615,5,0.501071528536377
372.6270751953125,365.5819396972656,-60.259182026796616,5,0.5031834058219122
350.2196960449219,339.9685974121094,-92.7615088752393,5,0.511781698345182
348.9442443847656,342.67169189453125,-56.467138335058785,5,0.5528735651709517
340.50164794921875,353.24639892578125,116.94220399813815,5,0.5226632113771864
581.1998901367188,578.3191528320312,-15.659817708354584,5,0.5502105065679672
530.1510620117188,506.7503662109375,-139.248794829492,3,0.5002474633522975
519.9348754882812,546.6292724609375,159.82480157912622,5,0.534029979850781
