Execution_Date,Signal_Date,Execution_Open,Execution_High,Execution_Low,Execution_Close,Signal,BUY_Probability,SELL_Probability,WAIT_Probability,BUY_Threshold,SELL_Threshold,True_Target
2020-10-16,2020-10-15,322.648589773227,324.30363260576735,320.92884634883575,321.1045227050781,BUY,0.5140625099478878,0.2626671928123766,0.2232702972397356,0.4,0.45,0
2020-10-19,2020-10-16,322.36198948401005,322.9907111121093,315.3257925506402,316.22265625,BUY,0.5339942541846447,0.2638557262529983,0.2021500195623574,0.4,0.45,0
2020-10-20,2020-10-19,317.56327447111846,320.72542054305353,316.8051235185024,317.48931884765625,BUY,0.5163608828583679,0.2867177689345488,0.19692134820708398,0.4,0.45,0
2020-10-21,2020-10-20,317.4430433315355,319.6066331009399,316.5831717303874,316.8883056640625,BUY,0.5246175124738074,0.28080492342923435,0.1945775640969588,0.4,0.45,-1
2020-10-22,2020-10-21,317.10097125484754,319.2090592108434,314.9651464132425,318.6265563964844,BUY,0.5222902239158329,0.2663042757140181,0.21140550037014935,0.4,0.45,-1
2020-10-23,2020-10-22,319.84705846131055,319.9025322364598,317.258188232449,319.7083740234375,BUY,0.5611798620377626,0.2590558804103008,0.17976425755193712,0.4,0.45,-1
2020-10-26,2020-10-23,316.33359795190205,317.1195140807674,310.31443920384794,313.8002014160156,BUY,0.55172246199094,0.26861576614666327,0.17966177186239743,0.4,0.45,-1
2020-10-27,2020-10-26,314.1422764667609,314.4751191044585,312.5057155150436,312.7183837890625,BUY,0.5247441422742939,0.2596923512904746,0.2155635064352322,0.4,0.45,-1
2020-10-28,2020-10-27,307.0598897426626,312.7461782493359,301.54002258547484,302.0300598144531,BUY,0.48161837871359864,0.32515920295815937,0.19322241832824216,0.4,0.45,0
2020-10-29,2020-10-28,302.26114022168764,308.2617881868608,300.57836060996675,305.09967041015625,BUY,0.4837213597389172,0.31223932890361294,0.20403931135747005,0.4,0.45,1
2020-10-30,2020-10-29,303.52783260839107,304.8315226203362,298.2761088587803,301.9190368652344,BUY,0.5132564861484732,0.29859342964853497,0.1881500842029918,0.4,0.45,1
