Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Entry_Cost,Net_Exit_Value,Net_Profit,Return_Percent,Holding_Days,Exit_Reason
2020-10-16,2020-10-23,322.71311949118166,319.64443234863285,7.746044006326205,2500.0,2475.7322413657344,-24.267758634265647,-0.009707103453706258,5,MAX_HOLDING
2020-10-23,2020-10-28,319.9110278730028,310.25163429740536,7.794928823029416,2493.9330603414337,2418.1475676361692,-75.78549270526446,-0.030387941805819357,3,STOP_LOSS
2020-10-28,2020-11-04,307.12130172061114,317.5738321472168,8.05785596563754,2474.9866871651175,2558.708301478036,83.72161431291852,0.03382709682726187,5,MAX_HOLDING
2020-11-04,2020-11-09,315.222439967653,334.0689592084391,7.917163271266617,2495.917090743347,2644.6140060659277,148.69691532258048,0.05957606359364075,3,TAKE_PROFIT
2020-11-16,2020-11-23,333.8290324864202,330.44155838012693,7.587231155137617,2533.091319573992,2506.8857730452555,-26.205546528736704,-0.010345282985353988,5,MAX_HOLDING
2020-11-23,2020-12-01,330.40730685536096,338.35458727416994,7.6459789229700466,2526.539932941808,2586.7933375842535,60.25340464244573,0.023848190110452337,5,MAX_HOLDING
2020-12-04,2020-12-11,339.6921270602378,338.61344662475585,7.481330730802724,2541.6032841024194,2533.0258561784044,-8.577427924014955,-0.0033748098995882905,5,MAX_HOLDING
2020-12-11,2020-12-18,337.4542250357052,342.73048193969726,7.524590946674581,2539.458927121416,2578.648790884707,39.189863763291214,0.01543236763735123,5,MAX_HOLDING
2021-01-20,2021-01-27,353.94728792310826,347.5858644287109,7.201641543490776,2549.2563930622387,2502.9384823198375,-46.31791074240118,-0.018169184891898144,5,MAX_HOLDING
2021-01-29,2021-02-05,348.8579053395051,359.9328818359375,7.273514901690238,2537.6769153766386,2617.7153819240384,80.03846654739982,0.031540053843111315,5,MAX_HOLDING
2021-02-05,2021-02-12,360.53197947719025,364.50981660766604,7.093492212932517,2557.6865320134884,2585.3889808893746,27.702448875886148,0.010831057101465025,5,MAX_HOLDING
2021-02-22,2021-03-01,359.47324002905026,361.66892371826174,7.133648414147212,2564.61214423246,2579.760942234694,15.148798002233889,0.005906857314195413,5,MAX_HOLDING
2021-03-01,2021-03-04,358.1080068456457,347.2952936869483,7.171418902641319,2568.3993437330187,2490.350973941555,-78.04836979146376,-0.03038794180581942,3,STOP_LOSS
2021-03-04,2021-03-11,354.0495949139318,365.3360063171387,7.198518017414796,2548.8872512851526,2629.6148361019004,80.72758481674782,0.03167169704193266,5,MAX_HOLDING
