Stop_Loss,Take_Profit,Max_Holding_Days,Min_BUY_Confidence,Regime_Filter,Use_Model_SELL,Ending_Capital,Net_Profit,Total_Return,Annualised_Return,Sharpe_Ratio,Maximum_Drawdown,Total_Trades,Win_Rate,Profit_Factor,Expectancy,Selection_Score
0.03,0.1,5,0.55,NONE,False,9731.5000650222,-268.4999349778009,-0.026849993497780056,-0.00792515063727961,-0.3511638923563339,-0.05068637247754926,21,0.38095238095238093,0.657341441577101,-12.785711189418938,-2.3997196844387405
0.04,0.06,10,0.5,NONE,False,9700.971936128317,-299.0280638716831,-0.029902806387168357,-0.008835987841505522,-0.2813940250101354,-0.06718206600271204,25,0.4,0.7694500100594229,-11.961122554867288,-2.4508007446803957
0.04,0.08,10,0.5,NONE,False,9698.280605318372,-301.7193946816278,-0.030171939468162767,-0.008916383624793744,-0.27623131909001886,-0.07070400951698008,25,0.4,0.7674375156983866,-12.068775787265222,-2.4729230788149086
0.04,0.1,10,0.5,NONE,False,9698.280605318372,-301.7193946816278,-0.030171939468162767,-0.008916383624793744,-0.27623131909001886,-0.07070400951698008,25,0.4,0.7674375156983866,-12.068775787265222,-2.4729230788149086
0.04,0.06,5,0.55,NONE,True,9713.424963884692,-286.57503611530774,-0.028657503611530744,-0.00846419472212634,-0.37082674448272,-0.05277110788827577,20,0.4,0.6277357219309131,-14.328751805765297,-2.632439236075877
0.04,0.08,5,0.55,NONE,True,9713.424963884692,-286.57503611530774,-0.028657503611530744,-0.00846419472212634,-0.37082674448272,-0.05277110788827577,20,0.4,0.6277357219309131,-14.328751805765297,-2.632439236075877
0.04,0.1,5,0.55,NONE,True,9713.424963884692,-286.57503611530774,-0.028657503611530744,-0.00846419472212634,-0.37082674448272,-0.05277110788827577,20,0.4,0.6277357219309131,-14.328751805765297,-2.632439236075877
0.04,0.06,5,0.5,NONE,False,9667.420082886667,-332.57991711333307,-0.03325799171133326,-0.009839383591150885,-0.3269533712459933,-0.05736287928848993,32,0.46875,0.7670010919534704,-10.393122409791971,-2.801317700960332
0.03,0.06,5,0.55,NONE,True,9702.171019881429,-297.82898011857105,-0.029782898011857073,-0.008800173738573114,-0.3949662823454293,-0.053868564341558844,21,0.38095238095238093,0.6190399049699495,-14.182332386598599,-2.8220986442957945
0.03,0.08,5,0.55,NONE,True,9702.171019881429,-297.82898011857105,-0.029782898011857073,-0.008800173738573114,-0.3949662823454293,-0.053868564341558844,21,0.38095238095238093,0.6190399049699495,-14.182332386598599,-2.8220986442957945
0.03,0.1,5,0.55,NONE,True,9702.171019881429,-297.82898011857105,-0.029782898011857073,-0.008800173738573114,-0.3949662823454293,-0.053868564341558844,21,0.38095238095238093,0.6190399049699495,-14.182332386598599,-2.8220986442957945
0.04,0.08,5,0.5,NONE,False,9664.468826282065,-335.5311737179345,-0.03355311737179345,-0.009927761194714613,-0.3267635332119084,-0.057650646242278114,32,0.46875,0.7648898545702736,-10.485349178685482,-2.8328495952751664
0.04,0.1,5,0.5,NONE,False,9664.468826282065,-335.5311737179345,-0.03355311737179345,-0.009927761194714613,-0.3267635332119084,-0.057650646242278114,32,0.46875,0.7648898545702736,-10.485349178685482,-2.8328495952751664
0.03,0.06,7,0.5,NONE,False,9672.300348039245,-327.69965196075464,-0.032769965196075446,-0.009693282252987045,-0.32137030960500196,-0.05626954984808141,30,0.36666666666666664,0.7427494940960357,-10.923321732025094,-2.866590527902928
0.04,0.06,7,0.5,NONE,False,9661.506947756221,-338.49305224377895,-0.0338493052243779,-0.01001647608329126,-0.31761835950363804,-0.06164228922954662,29,0.4482758620689655,0.752422405069442,-11.67217421530277,-2.8811112635362055
