Buy_Confidence_Bucket,Trades,Net_Profit,Average_Profit,Win_Rate,Average_Return,Median_Return,Average_MFE,Average_MAE,Average_Holding_Days,Profit_Factor
<40%,0,0.0,,,,,,,,0.0
40-45%,20,-372.0014466980806,-18.60007233490403,0.3,-0.007606370729638751,-0.00987463867461945,0.012296415073650483,-0.020027230608956108,3.8,0.3658645247854379
45-50%,17,-33.24630242926878,-1.9556648487805166,0.47058823529411764,-0.0005140879751500351,-0.0042668418453741,0.02150193975193084,-0.023035037520162085,3.8823529411764706,0.941583568888534
50-55%,21,140.60709552663093,6.695575977458615,0.47619047619047616,0.002479287587928468,-0.0025109108267159,0.02464889384955003,-0.022683358609705166,3.857142857142857,1.2113449473068991
55-60%,19,-153.92240636317956,-8.101179282272609,0.3684210526315789,-0.0026703845155679573,-0.0303879418058193,0.024795171165660244,-0.027178185111806006,3.6842105263157894,0.8107849973885731
60%+,4,79.94930075319098,19.987325188297746,0.5,0.007578103428975799,0.00056214596404095,0.029647304470648752,-0.0166041381473328,3.75,2.0016544320381593
