Entry_Month,Trades,Net_Profit,Average_Profit,Win_Rate,Average_Return,Median_Return,Average_MFE,Average_MAE,Average_Holding_Days,Profit_Factor
2020-10,3,-16.33163702661159,-5.443879008870529,0.3333333333333333,-0.0020893161440878973,-0.0097071034537062,0.017462830907462593,-0.036744878830482906,4.333333333333333,0.8367705516016638
2020-11,3,182.7447734362895,60.91492447876317,0.6666666666666666,0.024359656906246363,0.0238481901104523,0.034158928278021326,-0.009995582286263982,4.333333333333333,7.973515062389318
2020-12,2,30.61243583927626,15.30621791963813,0.5,0.0060287788688815,0.0060287788688815,0.015606174694644877,-0.00797195494640357,5.0,4.568952850488899
2021-01,2,33.72055580499864,16.86027790249932,0.5,0.0066854344756066015,0.0066854344756066015,0.023105522733149007,-0.021931065929849846,5.0,1.728024111288974
2021-02,2,42.85124687812004,21.42562343906002,1.0,0.0083689572078302,0.0083689572078302,0.012529652355406328,-0.014256610267620647,5.0,inf
2021-03,5,67.38918741935002,13.477837483870005,0.4,0.00531551484514958,-0.0025109108267159,0.021881377895176565,-0.01876655290586442,4.6,1.6192225475815563
2021-04,4,160.08402735592654,40.021006838981634,0.75,0.015411411802865475,0.0156150424974841,0.019303417499073612,-0.004455678498912101,5.0,34.54989865657681
2021-05,3,60.780017566493825,20.26000585549794,0.6666666666666666,0.0077318964729993335,0.0175776022906328,0.021151877181117915,-0.011210909507253118,5.0,2.6610216890360774
2021-09,1,-11.26643653392648,-11.26643653392648,0.0,-0.0042668418453741,-0.0042668418453741,0.02006892190676934,-0.007330764620551787,5.0,0.0
2021-10,1,8.706784088978111,8.706784088978111,1.0,0.0033009675855199,0.0033009675855199,0.019842273490108496,-0.015531800449234662,5.0,inf
2021-11,1,-17.74453456735455,-17.74453456735455,0.0,-0.0067218659446976,-0.0067218659446976,0.005578051449784052,-0.028506091802802065,3.0,0.0
2021-12,2,47.11540859769367,23.557704298846836,0.5,0.009123734972586551,0.009123734972586551,0.026878762591681062,-0.024866530956226804,3.5,1.588325051558826
2022-01,3,-2.829806320849002,-0.943268773616334,0.3333333333333333,-0.0002583290198855323,-0.0074982376207341,0.01951498203505054,-0.03009858043238615,4.333333333333333,0.9717415529710909
2022-02,6,-82.34721980211452,-13.724536633685753,0.3333333333333333,-0.005074085332555434,-0.01730014030906915,0.024522381560450588,-0.02338623341423998,3.3333333333333335,0.6710435714191342
2022-03,3,115.12672614277335,38.37557538092445,0.6666666666666666,0.014729363326750866,0.0149999681924313,0.029922014408470327,-0.01768238936367358,3.3333333333333335,2.442784435876197
2022-04,3,-156.82215829109236,-52.274052763697455,0.3333333333333333,-0.0197609017904643,-0.0303879418058193,0.00922110096802784,-0.031354391889070514,5.0,0.0244703684041283
2022-05,6,-54.080848386924586,-9.013474731154098,0.3333333333333333,-0.003342495136189599,-0.01537841405899155,0.03268047010799569,-0.023807859003965082,3.6666666666666665,0.7723586150540773
2022-06,4,-91.1284320122295,-22.782108003057374,0.25,-0.008607764451373498,-0.0303879418058193,0.019931986699800893,-0.04253525698642813,3.5,0.6128852371586091
2022-08,3,-233.34301077905275,-77.78100359301759,0.0,-0.03038794180581943,-0.0303879418058193,0.006507755219963977,-0.0342312423518011,3.3333333333333335,0.0
2022-09,7,-288.84357542085945,-41.26336791726563,0.2857142857142857,-0.016504316551620813,-0.0303879418058193,0.01886427433666968,-0.028700256617103046,3.5714285714285716,0.2408203500021693
2022-10,7,-42.52690412093216,-6.075272017276022,0.42857142857142855,-0.0023696179403943996,-0.0051829553753603,0.023139785399937867,-0.020289803879005995,1.4285714285714286,0.8192465756001862
2022-11,3,-161.5692149570482,-53.85640498568273,0.0,-0.0221969981185858,-0.0303879418058196,0.008866895062207255,-0.031932988084859115,2.3333333333333335,0.0
2023-08,2,-52.94934855194015,-26.474674275970074,0.0,-0.0110574811706226,-0.0110574811706226,0.006818507024663542,-0.017609263276652763,5.0,0.0
2024-08,1,103.29954492497382,103.29954492497382,1.0,0.0433242215891326,0.0433242215891326,0.04420401405982742,-0.0027994471636652407,5.0,inf
2024-12,1,25.25921528776962,25.25921528776962,1.0,0.010480298164537,0.010480298164537,0.03539123404438274,-0.0016779915032087045,5.0,inf
2025-04,3,-4.520555782415158,-1.5068519274717194,0.3333333333333333,-0.00039994000599933205,-0.0303879418058193,0.02660353258576198,-0.03484384385210451,2.6666666666666665,0.9691019732611506
