Holding_Bucket,Trades,Net_Profit,Average_Profit,Win_Rate,Average_Return,Median_Return,Average_MFE,Average_MAE,Average_Holding_Days,Profit_Factor
1 day,12,-363.2278270534821,-30.268985587790173,0.25,-0.012269080733400084,-0.03038794180581935,0.01783562910626175,-0.028814844017201538,0.9166666666666666,0.46439320314410054
2-3 days,18,-706.5985113810402,-39.25547285450224,0.16666666666666666,-0.01526238479201691,-0.0303879418058194,0.0157837529221818,-0.03236976369345777,2.5,0.3224551102741207
4-5 days,51,731.2125792238153,14.337501553408142,0.5294117647058824,0.005739708473595875,0.0021348391089621,0.02393432188729629,-0.018095274036287707,4.9411764705882355,1.7361415422085589
