Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Entry_Cost,Net_Exit_Value,Net_Profit,Return_Percent,Holding_Days,Exit_Reason,Outcome,MFE_Percent,MAE_Percent,Path_Close_Return,Profit_Capture_Ratio,Post_Exit_Max_Return_5D,Post_Exit_Min_Return_5D,Buy_Probability_At_Entry,Sell_Probability_At_Entry,Wait_Probability_At_Entry,Entry_Year,Entry_Month,Holding_Bucket,Buy_Confidence_Bucket
2020-10-16,2020-10-23,322.71311949118166,319.64443234863285,7.746044006326205,2500.0,2475.7322413657344,-24.267758634265647,-0.0097071034537062,5,MAX_HOLDING,LOSS,0.0049287576542680085,-0.024008856814235806,-0.009311076375320762,-1.9694828057330898,-0.007899146715346417,-0.06685038585593775,0.5140625099478878,0.2626671928123766,0.2232702972397356,2020,2020-10,4-5 days,50-55%
2020-10-23,2020-10-28,319.9110278730028,310.25163429740536,7.794928823029416,2493.9330603414337,2418.1475676361692,-75.78549270526446,-0.0303879418058193,3,STOP_LOSS,LOSS,-2.6747151614935813e-05,-0.0574253579492759,-0.0558935657124268,,0.036917702891723816,-0.038599492360775485,0.5611798620377626,0.2590558804103008,0.1797642575519371,2020,2020-10,2-3 days,55-60%
2020-10-28,2020-11-04,307.12130172061114,317.5738321472168,8.05785596563754,2474.9866871651175,2558.708301478036,83.72161431291852,0.0338270968272618,5,MAX_HOLDING,WIN,0.047486482219734706,-0.02880042172793702,0.0342401348722696,0.7123521315125706,0.06087456645825996,0.012165766918299731,0.4816183787135986,0.3251592029581593,0.1932224183282421,2020,2020-10,4-5 days,45-50%
2020-11-04,2020-11-09,315.222439967653,334.0689592084391,7.917163271266617,2495.917090743347,2644.6140060659277,148.69691532258048,0.0595760635936407,3,TAKE_PROFIT,WIN,0.06878812793987313,-0.00392562697505671,0.03998438705463165,0.8660806068994262,0.004063802712260949,-0.029895765078072793,0.4931498836347208,0.3186639529576782,0.1881861634076013,2020,2020-11,2-3 days,45-50%
2020-11-16,2020-11-23,333.8290324864202,330.44155838012693,7.587231155137617,2533.091319573992,2506.8857730452555,-26.205546528736704,-0.0103452829853539,5,MAX_HOLDING,LOSS,0.004785434785685727,-0.01911699696002918,-0.009949413528088107,-2.161827179486153,0.028796572374837823,0.004984920896950562,0.4175291786507188,0.2892958571164984,0.2931749642327826,2020,2020-11,4-5 days,40-45%
2020-11-23,2020-12-01,330.40730685536096,338.35458727416994,7.6459789229700466,2526.539932941808,2586.7933375842535,60.25340464244573,0.0238481901104523,5,MAX_HOLDING,WIN,0.02890322210850511,-0.006944122923706061,0.024257924157353564,0.8251048973337367,0.013207460758124118,-0.004773254360325049,0.4090059461851947,0.2651328826798839,0.3258611711349215,2020,2020-11,4-5 days,40-45%
2020-12-04,2020-12-11,339.6921270602378,338.61344662475585,7.481330730802724,2541.6032841024194,2533.0258561784044,-8.577427924014955,-0.0033748098995882,5,MAX_HOLDING,LOSS,0.009952945091783327,-0.011250509964158465,-0.0029760601390988323,-0.3390765113709188,0.017763187708108443,-0.0047969079661749885,0.4355370750452808,0.3050861240035367,0.2593768009511831,2020,2020-12,4-5 days,40-45%
2020-12-11,2020-12-18,337.4542250357052,342.73048193969726,7.524590946674581,2539.458927121416,2578.648790884707,39.189863763291214,0.0154323676373512,5,MAX_HOLDING,WIN,0.021259404297506425,-0.0046933999286486745,0.015838732584706257,0.7259078110274851,0.025341960139988202,-0.019170964014824994,0.4424120822287778,0.308432146922349,0.2491557708488734,2020,2020-12,4-5 days,40-45%
2021-01-20,2021-01-27,353.94728792310826,347.5858644287109,7.201641543490776,2549.2563930622387,2502.9384823198375,-46.31791074240118,-0.0181691848918981,5,MAX_HOLDING,LOSS,0.012235120711495984,-0.024072646878395554,-0.017776526802541517,-1.4850025038842922,0.025017224908496692,-0.016202262358359507,0.4250056564055578,0.2782684130524448,0.2967259305419974,2021,2021-01,4-5 days,40-45%
2021-01-29,2021-02-05,348.8579053395051,359.9328818359375,7.273514901690238,2537.6769153766386,2617.7153819240384,80.03846654739982,0.0315400538431113,5,MAX_HOLDING,WIN,0.03397592475480203,-0.019789484981304138,0.03195303547695453,0.9283059716764162,0.01358909284279919,-0.00034148157379609536,0.4601305385866815,0.3395711484502935,0.2002983129630248,2021,2021-01,4-5 days,45-50%
2021-02-05,2021-02-12,360.53197947719025,364.5098166076661,7.093492212932517,2557.6865320134884,2585.3889808893746,27.702448875886148,0.010831057101465,5,MAX_HOLDING,WIN,0.011904807205774186,-0.0055051825664435335,0.011235236691752403,0.9098053344544391,0.004097331680096122,-0.014829770718731131,0.4044746185983505,0.2924549343458388,0.3030704470558111,2021,2021-02,4-5 days,40-45%
2021-02-22,2021-03-01,359.47324002905026,361.66892371826174,7.133648414147212,2564.61214423246,2579.760942234694,15.148798002233889,0.0059068573141954,5,MAX_HOLDING,WIN,0.013154497505038469,-0.02300803796879776,0.006309320669941114,0.44903709259384034,0.0014583443110993155,-0.04524254999579514,0.4289888603981344,0.2763777165313916,0.2946334230704742,2021,2021-02,4-5 days,40-45%
2021-03-01,2021-03-04,358.1080068456457,347.2952936869483,7.171418902641319,2568.3993437330187,2490.350973941555,-78.04836979146376,-0.0303879418058194,3,STOP_LOSS,LOSS,0.013620292981433559,-0.035748732912723805,-0.02325088923002172,-2.2310784244687385,0.057824762961094824,-0.0036954371002867205,0.5799731302282684,0.2307513773560865,0.1892754924156449,2021,2021-03,2-3 days,55-60%
2021-03-04,2021-03-11,354.0495949139318,365.3360063171387,7.198518017414796,2548.8872512851526,2629.6148361019004,80.72758481674782,0.0316716970419326,5,MAX_HOLDING,WIN,0.03764434982959965,-0.024695680166063882,0.0320843827148486,0.8413399935261793,0.01186593721410439,-0.0068656451304903825,0.5639212268465857,0.2206637434181254,0.2154150297352886,2021,2021-03,4-5 days,55-60%
2021-03-11,2021-03-18,364.2748354138323,363.4328530883789,7.051852108709154,2569.0691474893397,2562.6184439523267,-6.4507035370129415,-0.0025109108267159,5,MAX_HOLDING,LOSS,0.014813609098709365,-0.00397254031509948,-0.002111731643942763,-0.16950027572515486,0.010114919855628809,-0.015953837443967094,0.5262350220003591,0.2481839251080564,0.225581052891584,2021,2021-03,4-5 days,50-55%
