Entry_Year,Trades,Net_Profit,Average_Profit,Win_Rate,Average_Return,Median_Return,Average_MFE,Average_MAE,Average_Holding_Days,Profit_Factor
2020,8,197.02557224895418,24.628196531119272,0.5,0.009858572503029801,0.0060287788688815,0.023259703368217685,-0.019520661655380977,4.5,2.461221352728135
2021,21,391.6362566102798,18.649345552870468,0.5714285714285714,0.007242258283985843,0.0059068573141954,0.02002825301060313,-0.015179298963176808,4.666666666666667,2.2815111680071993
2022,45,-998.3644439483292,-22.18587653218509,0.3111111111111111,-0.008681611206357406,-0.0303879418058193,0.020868260401050973,-0.027380772939846167,3.2444444444444445,0.5187793759686123
2023,2,-52.94934855194015,-26.474674275970074,0.0,-0.0110574811706226,-0.0110574811706226,0.006818507024663542,-0.017609263276652763,5.0,0.0
2024,2,128.55876021274344,64.27938010637172,1.0,0.0269022598768348,0.0269022598768348,0.03979762405210508,-0.0022387193334369726,5.0,inf
2025,3,-4.520555782415158,-1.5068519274717194,0.3333333333333333,-0.00039994000599933205,-0.0303879418058193,0.02660353258576198,-0.03484384385210451,2.6666666666666665,0.9691019732611506
